Code,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
360,Robinson R44,,,,,,,,,,
362,Bht 206 Lt Long Ranger,,,,,,,,,,
364,Bht 206 L4 Long Ranger,,,,,,,,,,
366,Bell Bht 407,,,,,,,,,,
368,Bell Bht 412,,,,,,,,,,
370,Air Bus Euro Bo-105,,,,,,,,,,
380,Sikorsky S-51,,,,,,,,,,
381,Sikorsky S-55,,,,,,,,,,
385,Sikorsky S-58A/B/C,,,,,,,,,,
386,Sikorsky S-61N,,,,,,,,,,
387,Sikorsky S-61,,,,,,,,,,
388,Sikorsky S-61L,,,,,,,,,,
389,Sikorsky S-62/A,,,,,,,,,,
390,Sikorsky S-76,,,,,,,,,,
393,Agustawestland AW139,,,,,,,,,,
395,DHC-6-400 Twin Otter,,,,,,,,,,
396,Westland SR-N5 (Acv),,,,,,,,,,
401,Beech 1300,,,,,,,,,,
402,Beech Model 18 Turbo-Prop Conversions,,,,,,,,,,
403,Beech 99 Airliner,,,,,,,,,,
404,Beech C99,,520,,,,,,,,
406,Beech 200 Super Kingair,,,,,,,,,,
407,British Aerospace (Hawker-Siddeley) BAe-748,,,,,,,,,,
409,Beechcraft King Air B100,,,,,,,,,,
410,Rockwell Turbo-Commander 680-W/690,,,,,,,,,,
411,Beech King Air 65-A90 Queen Air,,,,,,,,,,
413,Casa 235,,,,,,,,,,
415,Cessna C208B/Grand Caravan,,,,,,,,,,
417,Cessna 406 Caravan II,,,,,,,,,,
418,Cessna C-441,,,,,,,,,,
420,Convair CV-540,,,,,,,,,,
422,Quest Kodiak 100,,,,,,,,,,
425,Piaggio P180 Avanti,,,,,,,,,,
431,Socata TBM850,,,,,,,,,,
432,Saab 2000,,,,,,,,,,
433,Socata TBM-700,,,,,,,,,,
434,Raytheon King Air A100,,,,,,,,,,
435,Convair CV-600,,,,,,,,,,
437,Raytheon Beechcraft Baron B-58,,,,,,,,,,
440,Convair CV-640,,,,,,,,,,
443,Air Tractor AT-802,,,,,,,,,,
444,Antonov 24/26/32,,,,,,,,,,
445,Convair CV-660,,,,,,,,,,
448,Dornier 228,,,,,,,,,,
451,Pipistrel D O O Virus Sw 121c,,,,,,,,,,
452,Fokker 50,,,,,,,,,,
455,Fairchild Metro 23,,,,,,,,,,
457,Beech King Air C-90,,,,,,,,,,
458,Beechcraft Super King Air,,,,,,,,,,
459,Saab-Fairchild 340/A,,,,,,,,,,
460,Grumman G-21G (Turbo-Goose),,,,,,,,,,
462,Swearingen Metro Merlin,,,,,,,,,,
463,Mitsubishi MU-2/B,,,,,,,,,,
466,Swearingen Metro II,,,,20005,,,,,,
468,Handley Page Jetstream,,,,,,,,,,
470,Gulfstream I,,,,,,,,,,
473,Gulfstream I-Commander,,,,,,,,,,
474,Hawker Siddeley 748,,,,,,,,,,
475,Nord 262,,,,,,,,,,
476,Piper PA-30/31T Cheyenne II XL,,,,,,,,,,
477,Mohawk 298,,,,,,,,,,
478,Piper T-1040,,,,,,,,,,
479,Pilatus PC-12,,,,,,,,,,
480,Pilatus Turbo Porter PC-6A,,,,,,,,,,
481,Pilatus Turbo Porter PC-6B,,,,,,,,,,
482,De Havilland DHC8-400 Dash-8,,,,,,,,,,
484,De Havilland DHC8-300 Dash 8,,157416,591702,120763,209591,332646,291725,,,
485,De Havilland Twin Otter DHC-6,,,,,,,,,,
486,Shorts Harland SC-7 Skyvan,,,,,,,,,,
487,Shorts 330,,,,,,,,,,
488,Carstedt CJ-600A,,,,,,,,,,
490,Volpar Turbo 18,,,,,,,,,,
491,De Havilland DHC8-200Q Dash-8,,,,,,,,,,
495,Hawker Beechcraft Hawker 4000,,,,,,,,,,
507,Antonov 12,,,,,,,,,,
508,Antonov An-22 Freighter,,,,,,,,,,
510,AW-650,,,,,,,,,,
515,Bomardier Challenger 350,,,,,,,,,,
520,Canadair CL-44D,,,,,,,,,,
530,Bombardier CRJ550,,,,,,,,,,
541,Ilyushin Il-18,,,,,,,,,,
552,Lockheed L-382B,,,,,,,,,,
553,Lockheed L100-10 Hercules,,,,,,,,,,
555,Lockheed L100-20 Hercules,,,,,,,,,,
560,Shorts Belfast Freighter-Sh5,,,,,,,,,,
575,Bombardier Learjet 75,,,,,,,,,,
580,Vickers Viscount 700/744/745/745D,,,,,,,,,,
584,Vickers Viscount V800/810/812,,,,,,,,,,
601,Fokker F28-1000 Fellowship,,1532994,997781,226709,,0,,,,
604,Fokker 70,,,,,82148,182957,91821,,,
605,British Aerospace BAC-111-200,,,,,,,,,,
606,Raytheon Beechraft 390 Premier I,,,,,,,,,,
607,Antonov An-72/74,,,,,,,,,,
609,Bombardier BD-100-1A10 Challenger 300,,,,,,,,,,
610,British Aerospace BAC-111-400,,0,25,,,,,,,
611,Aero Commander 1121,,,,,,,,,,
613,Aerospatiale Corvette,,,,,,,,,,
615,Boeing 737-5/600LR,,,,,,,,,,
618,Boeing 737-300LR,,,290372,504282,462419,,,,,
623,Boeing 757-300,,,,,,,,,,
631,Canadair RJ-700,,,,,,,,,,
632,Dornier 328 Jet,,,,,,,,,,
633,Boeing 737-600,,,,,,,,,,
634,Boeing 737-900,,,,,,,,,,
636,Cessna Citation II/ Bravo,,,,,,,,,,
637,Boeing 777-300/300ER/333ER,,,,,,,,,,
638,Canadair CRJ 900,,,,,,,,,,
639,Cessna Citationjet/CJ1/CJ2/CJ3,,,,,,,,,,
641,Gulfstream Aerospace G-III/G-IV,,,,,,,,,,
642,Raytheon Beechcraft Hawker 400XP,,,,,,,,,,
643,1124A Westwind II,,,,,,,,,,
644,Airbus Industrie A-318,,,,,,,,,,
646,Cessna Citation X Model 650/550B/550XL,,,,,,,,,,
647,Cessna Citation X Model CE750 X,,,,,,,,,,
648,Gulfstream G200,,,,,,,,,,
649,Tupolev TU-204-300,,,,,,,,,,
651,Gulfstream G150,,,,,,,,,,
652,Canadair CL-600 Challenger,,,,,,,,,,
653,Cessna CE-680 Citation Sovereign,,,,,,,,,,
657,Bombardier CRJ 705,,,,,,,,,,
658,Bombardier BD-700 Global Express,,,,,,,,,,
659,Bombardier (Gates) Learjet 60,,,,,,,,,,
660,Gates Learjet Lear-23,,,,,,,,,,
661,Gates Learjet Lear-24,,,,,,,,,,
662,Gates Learjet Lear-25,,,,,,,,,,
663,Gates Learjet Lear-31/35/36,,,,,,,,,,
664,HFB-320 Hansa,,,,,,,,,,
665,Hawker Siddeley 125,,,,,,,,,,
666,Lear 55,,,,,,,,,,
667,Gulfstream III/V/ G-V Exec/ G-5/550,,,,,,,,,,
668,Canadair (Bombardier) Challlenger 601,,,,,,,,,,
669,Bombardier Challenger 604/605,,,,,,,,,,
670,Rockwell Sabreliner,,,,,,,,,,
671,Gulfstream G450,,,,,,,,,,
673,Embraer ERJ-175,,,,,,,,,,
676,Embraer-140,,,,,,,,,,
677,Embraer-Emb-170,,,,,,,,,,
678,Embraer 190,,,,,,,,,,
679,Grumman G-1159 Gulfstream II/III,,,,,,,,,,
680,Aerospatiale Caravelle SE-210,,,,,,,,,,
682,Dassault Falcon 2000EX/2000lxs,,,,,,,,,,
683,Boeing B777-F,,,,,,,,,,
684,Raytheon Beechcraft Hawker 800XP,,,,,,,,,,
685,Cessna 510 Mustang/560XL Citation Excel,,,,,,,,,,
686,Learjet45,,,,,,,,,,
687,Airbus Industrie A330-300/333,,,,,,,,,,
688,Bombardier Global 5000,,,,,,,,,,
689,Airbus Industrie A330-600ST (Beluga),,,,,,,,,,
695,Airbus Industrie A300-B2,,,,,,,,,,
697,Airbus Industrie A340,,,,,,,,,,
699,Airbus Industrie A321/Lr,,,,,,,,,,
714,Sukhoi Superjet 100,,,,,,,,,,
717,Mrj-70/Std/ER/Lr,,,,,,,,,,
718,Mrj-90/Std/Sr/Lr,,,,,,,,,,
