Code,Description,pax_1990,pax_1991,pax_1992,pax_1993,pax_1994,pax_1995,pax_1996,pax_1997,pax_1998,pax_1999
315,Bell B-206A,,,,,,,,,,
317,Hu-1h 204B,,,,,,,,,,
320,Boeing Vertol BV-107,,,,,,,,,,
321,Boeing Vertol BV-44,,,,,,,,,,
322,Brantley B-2,,,,,,,,,,
323,Fairchild-Hiller FH-1100,,,,,,,,,,
325,Agusta A-119 Koala,,,,,,,,,,
330,Boelkow Bo-105c,,,,,,,,,,
339,Airbus Industrie A330-900,,,,,,,,,,
340,Eurocompter AS350 B2 AStar,,,,,,,,,,
343,Airbus Industrie A330-223/234,,,,,,,,,,
345,Bell 212 Twin Two Twelve,,,,,,,,,,
350,Hughes 300,,,,,,,,,,
355,Hughes-500/530,,,,,,,,,,
359,Airbus Industrie A350-900,,,,,,,,,,
360,Robinson R44,,,,,,,,,,
362,Bht 206 Lt Long Ranger,,,,,,,,,,
364,Bht 206 L4 Long Ranger,,,,,,,,,,
366,Bell Bht 407,,,,,,,,,,
368,Bell Bht 412,,,,,,,,,,
370,Air Bus Euro Bo-105,,,,,,,,,,
380,Sikorsky S-51,,,,,,,,,,
381,Sikorsky S-55,,,,,,,,,,
385,Sikorsky S-58A/B/C,,,,,,,,,,
386,Sikorsky S-61N,,,,,,,,,,
387,Sikorsky S-61,,,,,,,,,,
388,Sikorsky S-61L,,,,,,,,,,
389,Sikorsky S-62/A,,,,,,,,,,
390,Sikorsky S-76,,,,,,,,,,
393,Agustawestland AW139,,,,,,,,,,
395,DHC-6-400 Twin Otter,,,,,,,,,,
396,Westland SR-N5 (Acv),,,,,,,,,,
401,Beech 1300,,,,,,,,,,
402,Beech Model 18 Turbo-Prop Conversions,,,,,,,,,,
403,Beech 99 Airliner,,,,,,,,,,
404,Beech C99,,520.0,,,,,,,,
406,Beech 200 Super Kingair,,,,,,,,,,
407,British Aerospace (Hawker-Siddeley) BAe-748,,,,,,,,,,
409,Beechcraft King Air B100,,,,,,,,,,
410,Rockwell Turbo-Commander 680-W/690,,,,,,,,,,
411,Beech King Air 65-A90 Queen Air,,,,,,,,,,
413,Casa 235,,,,,,,,,,
415,Cessna C208B/Grand Caravan,,,,,,,,,,
416,Cessna 208 Caravan,,,,0.0,,,251.0,263.0,412.0,2288.0
417,Cessna 406 Caravan II,,,,,,,,,,
418,Cessna C-441,,,,,,,,,,
420,Convair CV-540,,,,,,,,,,
422,Quest Kodiak 100,,,,,,,,,,
425,Piaggio P180 Avanti,,,,,,,,,,
431,Socata TBM850,,,,,,,,,,
432,Saab 2000,,,,,,,,,,
433,Socata TBM-700,,,,,,,,,,
434,Raytheon King Air A100,,,,,,,,,,
435,Convair CV-600,,,,,,,,,,
437,Raytheon Beechcraft Baron B-58,,,,,,,,,,
440,Convair CV-640,,,,,,,,,,
443,Air Tractor AT-802,,,,,,,,,,
444,Antonov 24/26/32,,,,,,,,,,
445,Convair CV-660,,,,,,,,,,
448,Dornier 228,,,,,,,,,,
449,Dornier 328,,,,,460178.0,604103.0,270316.0,352541.0,642199.0,1132717.0
451,Pipistrel D O O Virus Sw 121c,,,,,,,,,,
452,Fokker 50,,,,,,,,,,
455,Fairchild Metro 23,,,,,,,,,,
456,Saab-Fairchild 340/B,,,816014.0,2348481.0,2348446.0,1780272.0,2772737.0,7354438.0,8643644.0,7984924.0
457,Beech King Air C-90,,,,,,,,,,
458,Beechcraft Super King Air,,,,,,,,,,
459,Saab-Fairchild 340/A,,,,,,,,,,
460,Grumman G-21G (Turbo-Goose),,,,,,,,,,
462,Swearingen Metro Merlin,,,,,,,,,,
463,Mitsubishi MU-2/B,,,,,,,,,,
466,Swearingen Metro II,,,,20005.0,,,,,,
468,Handley Page Jetstream,,,,,,,,,,
470,Gulfstream I,,,,,,,,,,
471,British Aerospace Jetstream 41,,,,,136699.0,636270.0,882690.0,934453.0,833122.0,875624.0
473,Gulfstream I-Commander,,,,,,,,,,
474,Hawker Siddeley 748,,,,,,,,,,
475,Nord 262,,,,,,,,,,
476,Piper PA-30/31T Cheyenne II XL,,,,,,,,,,
477,Mohawk 298,,,,,,,,,,
478,Piper T-1040,,,,,,,,,,
479,Pilatus PC-12,,,,,,,,,,
480,Pilatus Turbo Porter PC-6A,,,,,,,,,,
481,Pilatus Turbo Porter PC-6B,,,,,,,,,,
482,De Havilland DHC8-400 Dash-8,,,,,,,,,,
484,De Havilland DHC8-300 Dash 8,,157416.0,591702.0,120763.0,209591.0,332646.0,291725.0,,,
485,De Havilland Twin Otter DHC-6,,,,,,,,,,
486,Shorts Harland SC-7 Skyvan,,,,,,,,,,
487,Shorts 330,,,,,,,,,,
488,Carstedt CJ-600A,,,,,,,,,,
490,Volpar Turbo 18,,,,,,,,,,
491,De Havilland DHC8-200Q Dash-8,,,,,,,,,,
495,Hawker Beechcraft Hawker 4000,,,,,,,,,,
507,Antonov 12,,,,,,,,,,
508,Antonov An-22 Freighter,,,,,,,,,,
510,AW-650,,,,,,,,,,
515,Bomardier Challenger 350,,,,,,,,,,
520,Canadair CL-44D,,,,,,,,,,
530,Bombardier CRJ550,,,,,,,,,,
541,Ilyushin Il-18,,,,,,,,,,
552,Lockheed L-382B,,,,,,,,,,
553,Lockheed L100-10 Hercules,,,,,,,,,,
555,Lockheed L100-20 Hercules,,,,,,,,,,
560,Shorts Belfast Freighter-Sh5,,,,,,,,,,
575,Bombardier Learjet 75,,,,,,,,,,
580,Vickers Viscount 700/744/745/745D,,,,,,,,,,
584,Vickers Viscount V800/810/812,,,,,,,,,,
601,Fokker F28-1000 Fellowship,,1532994.0,997781.0,226709.0,,0.0,,,,
604,Fokker 70,,,,,82148.0,182957.0,91821.0,,,
605,British Aerospace BAC-111-200,,,,,,,,,,
606,Raytheon Beechraft 390 Premier I,,,,,,,,,,
607,Antonov An-72/74,,,,,,,,,,
608,Boeing 717-200,,,,,,,,,,2685944.0
609,Bombardier BD-100-1A10 Challenger 300,,,,,,,,,,
610,British Aerospace BAC-111-400,,0.0,25.0,,,,,,,
611,Aero Commander 1121,,,,,,,,,,
612,Boeing 737-700/700LR/Max 7,,,,,,,,,,137225.0
613,Aerospatiale Corvette,,,,,,,,,,
614,Boeing 737-800,,,,,,,,94995.0,2383362.0,10614806.0
615,Boeing 737-5/600LR,,,,,,,,,,
618,Boeing 737-300LR,,,290372.0,504282.0,462419.0,,,,,
623,Boeing 757-300,,,,,,,,,,
624,Boeing 767-400/ER,,,,,,,,,,502381.0
627,Boeing 777-200ER/200LR/233LR,,,,,270536.0,1059212.0,1491532.0,2483413.0,2912052.0,4021326.0
628,Canadair RJ-100/RJ-100ER,,,,,,,65091.0,353134.0,165282.0,398223.0
629,Canadair RJ-200ER /RJ-440,,,,,,,,816889.0,2847783.0,9002201.0
631,Canadair RJ-700,,,,,,,,,,
632,Dornier 328 Jet,,,,,,,,,,
633,Boeing 737-600,,,,,,,,,,
634,Boeing 737-900,,,,,,,,,,
636,Cessna Citation II/ Bravo,,,,,,,,,,
637,Boeing 777-300/300ER/333ER,,,,,,,,,,
638,Canadair CRJ 900,,,,,,,,,,
639,Cessna Citationjet/CJ1/CJ2/CJ3,,,,,,,,,,
641,Gulfstream Aerospace G-III/G-IV,,,,,,,,,,
642,Raytheon Beechcraft Hawker 400XP,,,,,,,,,,
643,1124A Westwind II,,,,,,,,,,
644,Airbus Industrie A-318,,,,,,,,,,
646,Cessna Citation X Model 650/550B/550XL,,,,,,,,,,
647,Cessna Citation X Model CE750 X,,,,,,,,,,
648,Gulfstream G200,,,,,,,,,,
649,Tupolev TU-204-300,,,,,,,,,,
651,Gulfstream G150,,,,,,,,,,
652,Canadair CL-600 Challenger,,,,,,,,,,
653,Cessna CE-680 Citation Sovereign,,,,,,,,,,
654,McDonnell Douglas DC9 Super 87,,,,,,164575.0,787670.0,982014.0,969978.0,625800.0
656,McDonnell Douglas MD-90,,,,,563861.0,2304343.0,3191070.0,3723465.0,3544883.0,3231259.0
657,Bombardier CRJ 705,,,,,,,,,,
658,Bombardier BD-700 Global Express,,,,,,,,,,
659,Bombardier (Gates) Learjet 60,,,,,,,,,,
660,Gates Learjet Lear-23,,,,,,,,,,
661,Gates Learjet Lear-24,,,,,,,,,,
662,Gates Learjet Lear-25,,,,,,,,,,
663,Gates Learjet Lear-31/35/36,,,,,,,,,,
664,HFB-320 Hansa,,,,,,,,,,
665,Hawker Siddeley 125,,,,,,,,,,
666,Lear 55,,,,,,,,,,
667,Gulfstream III/V/ G-V Exec/ G-5/550,,,,,,,,,,
668,Canadair (Bombardier) Challlenger 601,,,,,,,,,,
669,Bombardier Challenger 604/605,,,,,,,,,,
670,Rockwell Sabreliner,,,,,,,,,,
671,Gulfstream G450,,,,,,,,,,
673,Embraer ERJ-175,,,,,,,,,,
674,Embraer-135,,,,,,,,,153640.0,1371002.0
675,Embraer-145,,,,,,,336729.0,1816515.0,4647701.0,7163085.0
676,Embraer-140,,,,,,,,,,
677,Embraer-Emb-170,,,,,,,,,,
678,Embraer 190,,,,,,,,,,
679,Grumman G-1159 Gulfstream II/III,,,,,,,,,,
680,Aerospatiale Caravelle SE-210,,,,,,,,,,
681,Dassault-Breguet Mystere-Falcon,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
682,Dassault Falcon 2000EX/2000lxs,,,,,,,,,,
683,Boeing B777-F,,,,,,,,,,
684,Raytheon Beechcraft Hawker 800XP,,,,,,,,,,
685,Cessna 510 Mustang/560XL Citation Excel,,,,,,,,,,
686,Learjet45,,,,,,,,,,
687,Airbus Industrie A330-300/333,,,,,,,,,,
688,Bombardier Global 5000,,,,,,,,,,
689,Airbus Industrie A330-600ST (Beluga),,,,,,,,,,
695,Airbus Industrie A300-B2,,,,,,,,,,
696,Airbus Industrie A330-200,,,,,,,,,,6558.0
697,Airbus Industrie A340,,,,,,,,,,
698,Airbus Industrie A319,,,,,,,,721741.0,5522547.0,12044948.0
699,Airbus Industrie A321/Lr,,,,,,,,,,
714,Sukhoi Superjet 100,,,,,,,,,,
717,Mrj-70/Std/ER/Lr,,,,,,,,,,
718,Mrj-90/Std/Sr/Lr,,,,,,,,,,
719,Airbus Industrie A319-200n,,,,,,,,,,
720,Bombardier C Series Cs100,,,,,,,,,,
721,Airbus Industrie A321-200n,,,,,,,,,,
722,Airbus Industrie A320-200n,,,,,,,,,,
723,A200-100 BD-500-1A10,,,,,,,,,,
724,A220-300 BD-500-1A11,,,,,,,,,,
725,Dassault Falcon 8x,,,,,,,,,,
731,McDonnell Douglas DC-10-20,,,,,,,,,,
735,McDonnell Douglas DC-10-30CF,,,,,,0.0,0.0,,,
737,Boeing 737 Max 7,,,,,,,,,,
740,McDonnell Douglas MD-11,,136719.0,263890.0,663883.0,655086.0,495117.0,537610.0,451809.0,361956.0,359983.0
745,Embraer Legacy 500,,,,,,,,,,
746,Emb500 Phenom 100/300,,,,,,,,,,
748,Embraer EMB195,,,,,,,,,,
749,Gulfstream Aerospace G500,,,,,,,,,,
750,Gulfstream G650,,,,,,,,,,
751,Bombardier Global 7500 BD-7500,,,,,,,,,,
755,Embraer Legacy 600,,,,,,,,,,
770,Dassault Falcon 900/900EX,,,,,,,,,,
771,Dassault Falcon 50,,,,,,,,,,
774,Dassault Falcon 2000,,,,,,,,,,
775,Dassault Falcon 7X,,,,,,,,,,
780,Tupolev TU-154,,,,,,,,,,
788,Bombardier Global 6000/Global Xrs,,,,,,,,,,
792,Yakolev Yak-42,,,,,,,,,,
802,Boeing 707-100B,,,,,,,,,,
804,Boeing 707-200,,,,,,,,,,
806,Boeing 707-300,,,,,,,,,,
810,Boeing 707-400,,,,,,,,,,
812,Boeing 720-000,,,,,,,,,,
814,Boeing 720-000B,,,,,,,,,,
818,Boeing 747C,,,,,,,,,,
821,Boeing B747-8,,,,,,,,,,
823,Boeing 747-200F,,,,,,,,,,
824,Airbus A330-900neo,,,,,,,,,,
825,Convair 880 (CV-22/22m),,,,,,,,,,
830,Convair 990 Coronado (CV-30),,,,,,,,,,
833,Embraer Legacy 650,,,,,,,,,,
835,Avroliner RJ85,,,,,,,21221.0,901309.0,1914647.0,2738689.0
836,Airbus 350-1000,,,,,,,,,,
837,Boeing 787-10 Dreamliner,,,,,,,,,,
838,Boeing B737 Max 800,,,,,,,,,,
839,Boeing B737 Max 900,,,,,,,,,,
840,McDonnell Douglas DC-8-10,,,,,,,,,,
842,McDonnell Douglas DC-8-20,,,,,,,,,,
844,McDonnell Douglas DC-8-30,,,,,,,,,,
846,McDonnell Douglas DC-8-40,,,,,,,,,,
848,McDonnell Douglas DC-8-50,,,,,,,,,,
862,McDonnell Douglas DC-8-72,,,,,,,,,,
870,Lockheed Jetstar,,,,,,,,,,
871,Airbus Industrie A340-300,,,,,,,,,,
872,Airbus Industrie A340-500,,,,,,,,,,
873,Airbus Industrie A340-200,,,,,,,,,,
874,Airbus Industrie A340-600,,,,,,,,,,
